"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","age_group"
390000,2,2,2,2,2,2,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,115514,5000,3000,5000,4548,4100,3300,"0",20
60000,1,1,2,0,0,0,0,0,2,21387,22416,23444,26038,28607,27997,1378,1406,3000,3000,0,923,"1",20
140000,2,2,1,0,0,0,0,0,0,108038,110216,84516,72391,61298,62193,4200,2822,2336,2588,2250,2491,"0",50
50000,1,1,2,2,2,2,0,0,-2,7881,10415,3997,1047,0,0,3000,0,1000,0,0,0,"1",20
20000,1,2,2,0,0,0,0,0,0,20009,20602,21255,19105,19609,19283,1700,1600,1200,1000,900,1000,"0",30
50000,1,3,2,0,0,0,2,0,0,51154.1449567723,50525,51463,49952,19584,19080,1762,4800,0,837,700,1000,"0",40
250000,1,2,2,0,0,0,-1,2,-1,5724,6729,4973,9693,799,4295,2000,2305,4720,0,4305,0,"0",30
320000,2,2,2,-2,-2,-2,-2,-2,-2,29862,33785,4900,15813,0,0,5000,4905,10968.125,0,0,10252.5,"1",30
80000,2,2,2,0,0,0,2,2,0,59520,60492,62160,64714,62420,62990,2753,3438,4400,0,2400,9974,"1",20
30000,2,2,2,0,0,0,2,0,0,28218,28704,30428,28914,29357,29955,2000,3600,0,1200,1200,1300,"0",20
1e+05,2,3,1,1,2,0,0,0,0,77208,75377,77044,78333,78130,77761,0,3475,3263,2805,2888,2680,"0",40
240000,1,2,2,0,0,0,0,0,0,81861,81446,82907,84832,87123,85363,11165.625,4000,4000,4000,3000,3000,"0",20
330000,1,2,1,-2,-2,-1,0,0,0,19540,23240,145766.25,132543.5,122749,21757,11165.625,11046.125,10968.125,560,9970.625,10252.5,"0",40
20000,1,1,2,0,0,0,0,2,0,16787,17912,18706,20086,19632,20160,1700,1400,1684,0,1000,850,"0",30
